date,country,D,H,I,M,S
2021-10-08,Australia,4.0,0.0,0.0,22.0,0.0
2021-10-09,Armenia,0.0,0.0,0.0,2.0,0.0
2021-10-09,Australia,4.0,0.0,0.0,22.0,0.0
2021-10-10,Armenia,0.0,0.0,0.0,2.0,0.0
2021-10-10,Australia,4.0,0.0,0.0,22.0,0.0
2021-10-11,Armenia,0.0,0.0,0.0,2.0,0.0
2021-10-11,Australia,4.0,0.0,0.0,22.0,0.0
2021-10-12,Armenia,0.0,0.0,0.0,2.0,0.0
2021-10-12,Australia,4.0,0.0,0.0,22.0,0.0
2021-10-13,Armenia,0.0,0.0,0.0,2.0,0.0
2021-10-13,Australia,4.0,0.0,0.0,22.0,0.0
2021-10-14,Armenia,0.0,0.0,0.0,2.0,0.0
2021-10-14,Australia,4.0,0.0,0.0,22.0,0.0
2021-10-15,Armenia,0.0,0.0,0.0,2.0,0.0
2021-10-15,Australia,4.0,0.0,0.0,22.0,0.0
2021-10-16,Armenia,0.0,0.0,0.0,2.0,0.0
2021-10-16,Australia,4.0,0.0,0.0,22.0,0.0
2021-10-17,Armenia,0.0,0.0,0.0,2.0,0.0
2021-10-17,Australia,4.0,0.0,0.0,22.0,0.0
2021-10-18,Armenia,0.0,0.0,0.0,2.0,0.0
2021-10-18,Australia,4.0,0.0,0.0,22.0,0.0
2021-10-19,Armenia,0.0,0.0,0.0,2.0,0.0
2021-10-19,Australia,4.0,0.0,0.0,22.0,0.0
2021-10-20,Armenia,0.0,0.0,0.0,2.0,0.0
2021-10-20,Australia,4.0,0.0,0.0,22.0,0.0
2021-10-21,Armenia,0.0,0.0,0.0,2.0,0.0
2021-10-21,Australia,4.0,0.0,0.0,22.0,0.0
2021-10-22,Armenia,0.0,0.0,0.0,2.0,0.0
2021-10-22,Australia,4.0,0.0,0.0,22.0,0.0
2021-10-23,Armenia,0.0,0.0,0.0,2.0,0.0
2021-10-23,Australia,4.0,0.0,0.0,22.0,0.0
2021-10-24,Armenia,0.0,0.0,0.0,2.0,0.0
2021-10-24,Australia,4.0,0.0,0.0,22.0,0.0
2021-10-25,Armenia,0.0,0.0,0.0,2.0,0.0
2021-10-25,Australia,4.0,0.0,0.0,22.0,0.0
2021-10-26,Armenia,0.0,0.0,0.0,2.0,0.0
2021-10-26,Australia,4.0,0.0,0.0,22.0,0.0
2021-10-27,Armenia,0.0,0.0,0.0,2.0,0.0
2021-10-27,Australia,4.0,0.0,0.0,22.0,0.0
2021-10-28,Armenia,0.0,0.0,0.0,2.0,0.0
2021-10-28,Australia,4.0,0.0,0.0,22.0,0.0
2021-10-29,Armenia,0.0,0.0,0.0,2.0,0.0
2021-10-29,Australia,4.0,0.0,0.0,22.0,0.0
2021-10-30,Armenia,0.0,0.0,0.0,2.0,0.0
2021-10-30,Australia,4.0,0.0,0.0,22.0,0.0
2021-10-31,Armenia,0.0,0.0,0.0,2.0,0.0
2021-10-31,Australia,4.0,0.0,0.0,22.0,0.0
2021-11-01,Armenia,0.0,0.0,0.0,2.0,0.0
2021-11-01,Australia,4.0,0.0,0.0,22.0,0.0
2021-11-02,Armenia,0.0,0.0,0.0,2.0,0.0
2021-11-02,Australia,4.0,0.0,0.0,22.0,0.0
